#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
5e-9,-8.750000000000001e-8,-1.8246301542009418
5e-9,-8.472222222222224e-8,-1.8191233405759122
5e-9,-8.194444444444445e-8,-1.8015871453732735
5e-9,-7.916666666666668e-8,-1.7692944559263049
5e-9,-7.63888888888889e-8,-1.7204234920175352
5e-9,-7.361111111111112e-8,-1.654886680070261
5e-9,-7.083333333333334e-8,-1.5704693495718942
5e-9,-6.805555555555557e-8,-1.467089537231311
5e-9,-6.527777777777778e-8,-1.3546881650630291
5e-9,-6.250000000000001e-8,-1.2445730273785505
5e-9,-5.972222222222223e-8,-1.1510397038102766
5e-9,-5.6944444444444454e-8,-1.0899327913984616
5e-9,-5.4166666666666675e-8,-1.066744068323259
5e-9,-5.13888888888889e-8,-1.0843398484059683
5e-9,-4.861111111111112e-8,-1.1538684605339693
5e-9,-4.583333333333334e-8,-1.2926987861852484
5e-9,-4.305555555555556e-8,-1.5197562395387114
5e-9,-4.027777777777778e-8,-1.815775471545481
5e-9,-3.7500000000000005e-8,-2.0850961126681637
5e-9,-3.700000000000001e-8,-2.244757918965921
5e-9,-3.65e-8,-2.321532453909617
5e-9,-3.6000000000000005e-8,-2.366047578813227
5e-9,-3.550000000000001e-8,-2.3885301398012997
5e-9,-3.5e-8,-2.397575199716289
5e-9,-3.4500000000000005e-8,-2.4010844646858303
5e-9,-3.4000000000000007e-8,-2.402476600337475
5e-9,-3.35e-8,-2.403017985434676
5e-9,-3.3000000000000004e-8,-2.403204613187884
5e-9,-3.2500000000000006e-8,-2.403254079810942
5e-9,-3.2e-8,-2.4032633653048316
5e-9,-3.1500000000000004e-8,-2.403264721176482
5e-9,-3.1000000000000006e-8,-2.4032649136910127
5e-9,-3.05e-8,-2.403264944365863
5e-9,-3.0000000000000004e-8,-2.4032649497473795
5e-9,-2.9500000000000006e-8,-2.403264950760451
5e-9,-2.9000000000000008e-8,-2.4032649509590076
5e-9,-2.8500000000000004e-8,-2.403264950993892
5e-9,-2.8000000000000006e-8,-2.4032649509990236
5e-9,-2.75e-8,-2.4032649509999082
5e-9,-2.7000000000000004e-8,-2.403264950999839
5e-9,-2.6500000000000006e-8,-2.4032649509998483
5e-9,-2.6000000000000008e-8,-2.403264951000006
5e-9,-2.550000000000001e-8,-2.4032649509998367
5e-9,-2.5e-8,-2.40326495099976
5e-9,-2.45e-8,-2.4032649509999295
5e-9,-2.4000000000000003e-8,-2.403264951000008
5e-9,-2.3500000000000005e-8,-2.4032649509998527
5e-9,-2.3000000000000007e-8,-2.4032649509998407
5e-9,-2.2499999999999996e-8,-2.403264951000007
5e-9,-2.2000000000000012e-8,-2.403264951000047
5e-9,-2.15e-8,-2.4032649510000375
5e-9,-2.1000000000000003e-8,-2.40326495100001
5e-9,-2.0500000000000005e-8,-2.4032649509999287
5e-9,-2.0000000000000007e-8,-2.4032649509999287
5e-9,-1.950000000000001e-8,-2.403264951000117
5e-9,-1.8999999999999998e-8,-2.403264951000038
5e-9,-1.85e-8,-2.4032649509998105
5e-9,-1.8000000000000002e-8,-2.4032649509998913
5e-9,-1.7500000000000005e-8,-2.4032649510000095
5e-9,-1.7000000000000007e-8,-2.403264950999997
5e-9,-1.6499999999999996e-8,-2.403264951000047
5e-9,-1.600000000000001e-8,-2.4032649510001636
5e-9,-1.55e-8,-2.403264951000155
5e-9,-1.5000000000000002e-8,-2.4032649510000494
5e-9,-1.4500000000000004e-8,-2.4032649510000494
5e-9,-1.4000000000000006e-8,-2.4032649510000095
5e-9,-1.3500000000000008e-8,-2.4032649509999975
5e-9,-1.2999999999999997e-8,-2.403264950999958
5e-9,-1.25e-8,-2.4032649509998905
5e-9,-1.2000000000000002e-8,-2.4032649509998905
5e-9,-1.1500000000000004e-8,-2.4032649509998123
5e-9,-1.1000000000000006e-8,-2.403264950999879
5e-9,-1.0499999999999995e-8,-2.4032649510000175
